36.1,13.5,26.9,29.4,20.8,48.2,18.4,9.7,14.5,15.9,11.8,23.0,3.2,7.0,2.4,11.2,1.8,15.6
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
36.1,13.5,27.0,29.4,20.9,48.2,18.4,9.7,14.5,15.9,11.7,23.0,3.2,7.1,2.3,11.2,1.7,15.6
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
35.7,13.6,26.6,29.5,20.5,48.5,18.1,9.8,14.3,16.0,11.5,23.2,3.2,7.1,2.3,11.2,1.8,15.6
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
35.9,13.6,26.7,29.5,20.6,48.3,18.3,9.8,14.5,16.0,11.5,23.1,3.3,7.0,2.4,11.1,1.8,15.6
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
35.9,13.6,26.8,29.4,20.6,48.3,18.2,9.8,14.4,16.0,11.6,23.1,3.3,7.0,2.4,11.1,1.8,15.5
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
